api,url
tf.compat.v1.data.TFRecordDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/TFRecordDataset
tf.compat.v1.debugging,https://www.tensorflow.org/api_docs/python/tf/compat/v1/debugging
tf.compat.v1.debugging.assert_shapes,https://www.tensorflow.org/api_docs/python/tf/compat/v1/debugging/assert_shapes
tf.compat.v1.decode_csv,https://www.tensorflow.org/api_docs/python/tf/compat/v1/decode_csv
tf.compat.v1.decode_raw,https://www.tensorflow.org/api_docs/python/tf/compat/v1/decode_raw
tf.compat.v1.delete_session_tensor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/delete_session_tensor
tf.compat.v1.depth_to_space,https://www.tensorflow.org/api_docs/python/tf/compat/v1/depth_to_space
tf.compat.v1.device,https://www.tensorflow.org/api_docs/python/tf/compat/v1/device
tf.compat.v1.DeviceSpec,https://www.tensorflow.org/api_docs/python/tf/compat/v1/DeviceSpec
tf.compat.v1.Dimension,https://www.tensorflow.org/api_docs/python/tf/compat/v1/Dimension
tf.compat.v1.disable_control_flow_v2,https://www.tensorflow.org/api_docs/python/tf/compat/v1/disable_control_flow_v2
tf.compat.v1.disable_eager_execution,https://www.tensorflow.org/api_docs/python/tf/compat/v1/disable_eager_execution
tf.compat.v1.disable_tensor_equality,https://www.tensorflow.org/api_docs/python/tf/compat/v1/disable_tensor_equality
tf.compat.v1.disable_v2_behavior,https://www.tensorflow.org/api_docs/python/tf/compat/v1/disable_v2_behavior
tf.compat.v1.disable_v2_tensorshape,https://www.tensorflow.org/api_docs/python/tf/compat/v1/disable_v2_tensorshape
tf.compat.v1.distribute,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute
tf.compat.v1.distribute.cluster_resolver,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/cluster_resolver
tf.compat.v1.distribute.experimental,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental
tf.compat.v1.distribute.experimental.CentralStorageStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/CentralStorageStrategy
tf.compat.v1.distribute.experimental.MultiWorkerMirroredStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/MultiWorkerMirroredStrategy
tf.compat.v1.distribute.experimental.ParameterServerStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/ParameterServerStrategy
tf.compat.v1.distribute.experimental.TPUStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/experimental/TPUStrategy
tf.compat.v1.distribute.get_loss_reduction,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/get_loss_reduction
tf.compat.v1.distribute.MirroredStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/MirroredStrategy
tf.compat.v1.distribute.OneDeviceStrategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/OneDeviceStrategy
tf.compat.v1.distribute.Strategy,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/Strategy
tf.compat.v1.distribute.StrategyExtended,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distribute/StrategyExtended
tf.compat.v1.distributions,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions
tf.compat.v1.distributions.Bernoulli,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Bernoulli
tf.compat.v1.distributions.Beta,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Beta
tf.compat.v1.distributions.Categorical,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Categorical
tf.compat.v1.distributions.Dirichlet,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Dirichlet
tf.compat.v1.distributions.DirichletMultinomial,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/DirichletMultinomial
tf.compat.v1.distributions.Distribution,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Distribution
tf.compat.v1.distributions.Exponential,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Exponential
tf.compat.v1.distributions.Gamma,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Gamma
tf.compat.v1.distributions.Laplace,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Laplace
tf.compat.v1.distributions.Multinomial,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Multinomial
tf.compat.v1.distributions.Normal,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Normal
tf.compat.v1.distributions.RegisterKL,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/RegisterKL
tf.compat.v1.distributions.ReparameterizationType,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/ReparameterizationType
tf.compat.v1.distributions.StudentT,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/StudentT
tf.compat.v1.distributions.Uniform,https://www.tensorflow.org/api_docs/python/tf/compat/v1/distributions/Uniform
tf.compat.v1.dtypes,https://www.tensorflow.org/api_docs/python/tf/compat/v1/dtypes
tf.compat.v1.enable_control_flow_v2,https://www.tensorflow.org/api_docs/python/tf/compat/v1/enable_control_flow_v2
tf.compat.v1.enable_eager_execution,https://www.tensorflow.org/api_docs/python/tf/compat/v1/enable_eager_execution
tf.compat.v1.enable_resource_variables,https://www.tensorflow.org/api_docs/python/tf/compat/v1/enable_resource_variables
tf.compat.v1.enable_tensor_equality,https://www.tensorflow.org/api_docs/python/tf/compat/v1/enable_tensor_equality
tf.compat.v1.enable_v2_behavior,https://www.tensorflow.org/api_docs/python/tf/compat/v1/enable_v2_behavior
tf.compat.v1.enable_v2_tensorshape,https://www.tensorflow.org/api_docs/python/tf/compat/v1/enable_v2_tensorshape
tf.compat.v1.errors,https://www.tensorflow.org/api_docs/python/tf/compat/v1/errors
tf.compat.v1.errors.error_code_from_exception_type,https://www.tensorflow.org/api_docs/python/tf/compat/v1/errors/error_code_from_exception_type
tf.compat.v1.errors.exception_type_from_error_code,https://www.tensorflow.org/api_docs/python/tf/compat/v1/errors/exception_type_from_error_code
tf.compat.v1.errors.raise_exception_on_not_ok_status,https://www.tensorflow.org/api_docs/python/tf/compat/v1/errors/raise_exception_on_not_ok_status
tf.compat.v1.estimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator
tf.compat.v1.estimator.BaselineClassifier,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/BaselineClassifier
tf.compat.v1.estimator.BaselineEstimator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/BaselineEstimator
tf.compat.v1.estimator.BaselineRegressor,https://www.tensorflow.org/api_docs/python/tf/compat/v1/estimator/BaselineRegressor
